Table 1-1,"Apportionment of Congressional Seats, by Region and State, 1910-2010 (435 seats)",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Region and State,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
South,104,,102,105,106,106,108,116,125,131,138
   Alabama,10,,9,9,9,8,7,7,7,7,7
   Arkansas,7,,7,7,6,4,4,4,4,4,4
   Florida,4,,5,6,8,12,15,19,23,25,27
   Georgia,12,,10,10,10,10,10,10,11,13,14
   Louisiana,8,,8,8,8,8,8,8,7,7,6
   Mississippi,8,,7,7,6,5,5,5,5,4,4
   North Carolina,10,,11,12,12,11,11,11,12,13,13
   South Carolina,7,,6,6,6,6,6,6,6,6,7
   Tennessee,10,,9,10,9,9,8,9,9,9,9
   Texas,18,,21,21,22,23,24,27,30,32,36
   Virginia,10,,9,9,10,10,10,10,11,11,11
,,,,,,,,,,,
Border,47,,43,42,38,36,35,34,32,31,30
   Kentucky,11,,9,9,8,7,7,7,6,6,6
   Maryland,6,,6,6,7,8,8,8,8,8,8
   Missouri,16,,13,13,11,10,10,9,9,9,8
   Oklahoma,8,,9,8,6,6,6,6,6,5,5
   West Virginia,6,,6,6,6,5,4,4,3,3,3
,,,,,,,,,,,
New England,32,,29,28,28,25,25,24,23,22,21
   Connecticut,5,,6,6,6,6,6,6,6,5,5
   Maine,4,,3,3,3,2,2,2,2,2,2
   Massachusetts,16,,15,14,14,12,12,11,10,10,9
   New Hampshire,2,,2,2,2,2,2,2,2,2,2
   Rhode Island,3,,2,2,2,2,2,2,2,2,2
   Vermont,2,,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,
Mid-Atlantic,92,,94,93,88,84,80,72,66,62,58
   Delaware,1,,1,1,1,1,1,1,1,1,1
   New Jersey,12,,14,14,14,15,15,14,13,13,12
   New York,43,,45,45,43,41,39,34,31,29,27
   Pennsylvania,36,,34,33,30,27,25,23,21,19,18
,,,,,,,,,,,
Midwest,86,,90,87,87,88,86,80,74,69,65
   Illinois,27,,27,26,25,24,24,22,20,19,18
   Indiana,13,,12,11,11,11,11,10,10,9,9
   Michigan,13,,17,17,18,19,19,18,16,15,14
   Ohio,22,,24,23,23,24,23,21,19,18,16
   Wisconsin,11,,10,10,10,10,9,9,9,8,8
,,,,,,,,,,,
Plains,41,,34,31,31,27,25,24,22,22,21
   Iowa,11,,9,8,8,7,6,6,5,5,4
   Kansas,8,,7,6,6,5,5,5,4,4,4
   Minnesota,10,,9,9,9,8,8,8,8,8,8
   Nebraska,6,,5,4,4,3,3,3,3,3,3
   North Dakota,3,,2,2,2,2,1,1,1,1,1
   South Dakota,3,,2,2,2,2,2,1,1,1,1
,,,,,,,,,,,
Rocky Mountains,14,,14,16,16,17,19,24,24,28,31
   Arizona,1,,1,2,2,3,4,5,6,8,9
   Colorado,4,,4,4,4,4,5,6,6,7,7
   Idaho,2,,2,2,2,2,2,2,2,2,2
   Montana,2,,2,2,2,2,2,2,1,1,1
   Nevada,1,,1,1,1,1,1,2,2,3,4
   New Mexico,1a,,1,2,2,2,2,3,3,3,3
   Utah,2,,2,2,2,2,2,3,3,3,4
   Wyoming,1,,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,
Pacific Coast,19,,29,33,43,52,57,61,69,70,71
   Alaska,,,,,1b,1,1,1,1,1,1
   California,11,,20,23,30,38,43,45,52,53,53
   Hawaii,,,,,1c,2,2,2,2,2,2
   Oregon,3,,3,4,4,4,4,5,5,5,5
   Washington,5,,6,6,7,7,7,8,9,9,10
,,,,,,,,,,,
,"a. New Mexico became a state in 1912; in 1910 it had a nonvoting delegate in Congress.
b. Alaska became a state on January 3, 1959. In 1950 Alaska had a nonvoting delegate in Congress, making the total for that year 437; subsequent reapportionment reduced the total to 435.
c. Hawaii became a state on August 21, 1959. In 1950 Hawaii had a nonvoting delegate in Congress, making the total for that year 437; subsequent reapportionment reduced the total to 435.",,,,,,,,,,
,"Source: Congressional Quarterly's Guide to U.S. Elections (Washington, D.C.: Congressional Quarterly, various editions); Congressional Quarterly Weekly Report, various issues; U.S. Census data 2000, www.census.gov.",,,,,,,,,,
